pos_x,pos_y,rotation,side,designator,mpn,pack,value,mount_type,place
17.3334,20.3752,0.0,top,C1,C0805C105J3REC7800 ,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1uF,smt,True
10.323,20.7816,0.0,top,C2,KGM21NR71H104JT,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF,smt,True
6.5384,30.6114,180.0,top,C3,KGM21NR71H104JT,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF,smt,True
27.1886,14.2284,180.0,top,C4,KGM21NR71H104JT,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF,smt,True
26.96,30.84,0.0,top,C5,KGM21NR71H104JT,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF,smt,True
4.0238,25.0996,90.0,top,C6,35TPV100M6.3X6.1,CP_Elec_D6.3mm_H6.1mm,100uF,smt,True
27.976,25.506,90.0,top,C7,35TPV100M6.3X6.1,CP_Elec_D6.3mm_H6.1mm,100uF,smt,True
23.3532,6.5322,-90.0,top,J1,TSM-105-02-T-SH-P-TR,PinHeader_1x05_P2.54mm_Horizontal_SMD,CONN HEADER SMD R/A 5POS,smt,True
16.8,27.22,180.0,top,J2,S5B-PH-SM4-TB ,JST_PH_S5B-PH-SM4-TB_1x05-1MP_P2.00mm_Horizontal,JST_PH_5POS,smt,True
33.564,30.078,0.0,top,J4,61300311121,PinHeader_1x03_P2.54mm_Vertical_THT_D1.4mm,CONN HEADER VERT 3POS ,tht,True
5.33,0.36,90.0,top,J5,PJ1-023-SMT-TR ,CUIDevices_PJ1-023-SMT-TR_PWRJack_0.7x2.35mm,CONN PWR JACK 0.7X2.35MM,smt,True
31.14,0.2,90.0,top,J6,PJ1-023-SMT-TR ,CUIDevices_PJ1-023-SMT-TR_PWRJack_0.7x2.35mm,CONN PWR JACK 0.7X2.35MM,smt,True
13.1678,3.3318,90.0,bottom,R1,RK73H2ATTD1002F,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K,smt,True
15.8094,3.3318,90.0,bottom,R2,RK73H2ATTD1002F,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K,smt,True
20.8132,3.3572,90.0,bottom,R3,RK73H2ATTD1002F,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K,smt,True
23.404,3.3572,90.0,bottom,R4,RK73H2ATTD1002F,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K,smt,True
32.675,16.235,-90.0,bottom,R5,D1WEL0805CR200F-T5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,0.2,smt,True
2.068,19.41,90.0,bottom,R6,D1WEL0805CR200F-T5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,0.2,smt,True
17.308,14.8888,0.0,top,U1,ATTINY1614-SSNR ,SOIC-14_3.9x8.7mm_P1.27mm,ATtiny1614-1,smt,True
7.26,16.77,180.0,top,U2,TB67H451FNGEL ,HSOP-8,50V/3A BRUSHED MOTOR DRIVER,smt,True
29.5,18.14,0.0,top,U4,TB67H451FNGEL ,HSOP-8,50V/3A BRUSHED MOTOR DRIVER,smt,True
